0,1,100
0,2,100
0,3,125
0,4,85
0,5,50
1,6,130
1,7,85
1,8,100
2,9,75
2,10,65
2,11,120
3,12,110
3,13,85
3,14,95
6,15,55
11,16,35
11,17,45
